Available devices: 1
Current device: 0
Train Dataset size: 3550
Train Loader size: 73
Valid Dataset size: 5
Valid Loader size: 5
Data Loader successful!
/scratch/cc6858/ece57000/penv/lib/python3.8/site-packages/torch/utils/data/dataloader.py:563: UserWarning: This DataLoader will create 2 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
<epoch: 92, lr:1.000e-04> loss: 4.031e-02 
<epoch: 93, lr:1.000e-04> loss: 4.031e-02 
<epoch: 94, lr:1.000e-04> loss: 4.168e-02 
<epoch: 95, lr:1.000e-04> loss: 4.088e-02 
<epoch: 96, lr:1.000e-04> loss: 4.023e-02 
<epoch: 97, lr:1.000e-04> loss: 4.010e-02 
<epoch: 98, lr:1.000e-04> loss: 4.186e-02 
<epoch: 99, lr:1.000e-04> loss: 4.083e-02 
<epoch:100, lr:1.000e-04> loss: 4.057e-02 
<epoch:100, Average PSNR : 27.21dB

<epoch:101, lr:1.000e-04> loss: 3.999e-02 
<epoch:102, lr:1.000e-04> loss: 3.966e-02 
<epoch:103, lr:1.000e-04> loss: 3.964e-02 
<epoch:104, lr:1.000e-04> loss: 4.059e-02 
<epoch:105, lr:1.000e-04> loss: 3.999e-02 
<epoch:106, lr:1.000e-04> loss: 3.988e-02 
<epoch:107, lr:1.000e-04> loss: 4.011e-02 
<epoch:108, lr:1.000e-04> loss: 3.977e-02 
<epoch:109, lr:1.000e-04> loss: 3.934e-02 
<epoch:110, lr:1.000e-04> loss: 3.948e-02 
<epoch:110, Average PSNR : 27.27dB

<epoch:111, lr:1.000e-04> loss: 3.858e-02 
<epoch:112, lr:1.000e-04> loss: 4.044e-02 
<epoch:113, lr:1.000e-04> loss: 3.987e-02 
<epoch:114, lr:1.000e-04> loss: 3.993e-02 
<epoch:115, lr:1.000e-04> loss: 4.012e-02 
<epoch:116, lr:1.000e-04> loss: 3.946e-02 
<epoch:117, lr:1.000e-04> loss: 3.957e-02 
<epoch:118, lr:1.000e-04> loss: 4.042e-02 
<epoch:119, lr:1.000e-04> loss: 3.971e-02 
<epoch:120, lr:1.000e-04> loss: 3.877e-02 
<epoch:120, Average PSNR : 27.39dB

<epoch:121, lr:1.000e-04> loss: 3.773e-02 
<epoch:122, lr:1.000e-04> loss: 3.911e-02 
<epoch:123, lr:1.000e-04> loss: 3.826e-02 
<epoch:124, lr:1.000e-04> loss: 3.746e-02 
